Medical Text,Medicine\ Chemical Name,Organ,Disease,Hormone,Pharmacological Class,Common Medical Terms
"সেফিক্সাইম এর কাজ করতে যে সময় লাগে তা সংক্রমণের ধরন এবং তীব্রতার উপর নির্ভর করে পরিবর্তিত হতে পারে। আপনি কয়েক দিনের মধ্যে ভাল বোধ করা শুরু করবেন, তবে অ্যান্টিবায়োটিকের পুরো কোর্সটি নির্ধারিত হিসাবে সম্পূর্ণ করা অত্যন্ত গুরুত্বপূর্ণ।",সেফিক্সাইম,,,,অ্যান্টিবায়োটিক,অ্যান্টিবায়োটিক
"সেফিক্সাইম স্ট্রেপ্টোকক্কাস নিউমোনিয়া, হেমোফিলাস ইনফ্লুয়েঞ্জা, এসচেরিচিয়া কোলাই এবং নেইসেরিয়া গনোরিয়া সহ বিভিন্ন ব্যাকটেরিয়ার বিরুদ্ধে কার্যকর।","স্ট্রেপ্টোকক্কাস নিউমোনিয়া, হেমোফিলাস ইনফ্লুয়েঞ্জা, এসচেরিচিয়া কোলাই, নেইসেরিয়া গনোরিয়া",,,,অ্যান্টিবায়োটিক,
"সেফিক্সাইম গ্রহণের দুই ঘন্টার মধ্যে ম্যাগনেসিয়াম বা অ্যালুমিনিয়াম ধারণকারী অ্যান্টাসিডগুলি এড়িয়ে চলুন, কারণ তারা এর কার্যকারিতা হ্রাস করতে পারে। এছাড়াও, পেট জ্বালা রোধ করতে অ্যালকোহল এড়িয়ে চলুন।",সেফিক্সাইম,,পেট জ্বালা,,অ্যান্টিবায়োটিক,
"সেফিক্সাইম সাধারণত লিভারের জন্য নিরাপদ, কিন্তু বিরল ক্ষেত্রে, এটি লিভারের এনজাইমের অস্বাভাবিকতার কারণ হতে পারে। আপনার যদি লিভারের সমস্যা থাকে তবে নিয়মিত পর্যবেক্ষণের পরামর্শ দেওয়া হয়।",সেফিক্সাইম,লিভার,লিভারের এনজাইমের অস্বাভাবিকতা,,অ্যান্টিবায়োটিক,
"সেফিক্সাইম সাধারণত কিডনির জন্য নিরাপদ, তবে যাদের কিডনির গুরুতর দুর্বলতা রয়েছে তাদের ডোজ সামঞ্জস্যের প্রয়োজন হতে পারে। নির্দেশনার জন্য আপনার ডাক্তারের সাথে পরামর্শ করুন।",সেফিক্সাইম,কিডনি,কিডনির গুরুতর দুর্বলতা,,অ্যান্টিবায়োটিক,ডোজ
ডায়রিয়া হল সেফিক্সাইম এর একটি সাধারণ পার্শ্বপ্রতিক্রিয়া। আপনি যদি গুরুতর বা ক্রমাগত ডায়রিয়া অনুভব করেন তবে আপনার ডাক্তারের সাথে যোগাযোগ করুন।,সেফিক্সাইম,,ডায়রিয়া,,অ্যান্টিবায়োটিক,ডাক্তার
"সেফিক্সাইম সাধারণত গর্ভাবস্থায় নিরাপদ বলে মনে করা হয়, তবে এটি শুধুমাত্র পরিষ্কারভাবে প্রয়োজন হলেই ব্যবহার করা উচিত। আপনি যদি গর্ভবতী হন বা বুকের দুধ খাওয়ান তবে সেফিক্সাইম ব্যবহার করার আগে আপনার ডাক্তারের সাথে পরামর্শ করুন।",সেফিক্সাইম,,,,অ্যান্টিবায়োটিক,ডাক্তার
ক্লোনাজেপাম বেনজোডিয়াজেপাইন নামক ওষুধের গ্রুপের অন্তর্গত। এই ওষুধগুলি প্রাথমিকভাবে নিউরোট্রান্সমিটারের মধ্যে মস্তিষ্কের কার্যকলাপ বৃদ্ধি করে কাজ করে। এটি একটি ড্রাগ যা নির্ধারিত হয় খিঁচুনি প্রতিরোধ এবং আতঙ্কিত আক্রমণের চিকিত্সা করুন।,ক্লোনাজেপাম,মস্তিষ্ক,"খিঁচুনি, আতঙ্কিত আক্রমণ",,বেনজোডিয়াজেপাইন,ওষুধ
ক্লোনাজেপাম GABA-A রিসেপ্টরগুলিকে সংশোধন করে কাজ করে যা মস্তিষ্কে শান্ত প্রভাব আনতে সাহায্য করে এবং নিউরনের উত্তেজনা হ্রাস করা,ক্লোনাজেপাম,মস্তিষ্ক,,,বেনজোডিয়াজেপাইন,
"ক্লোনাজেপামের কিছু ব্যবহার হল: প্রাপ্তবয়স্ক এবং শিশু উভয়ের মধ্যে খিঁচুনি রোগের ব্যবস্থাপনা (স্ট্যাটাস এপিলেপটিকাস, ছোট মোটর খিঁচুনি, মায়োক্লোনিক খিঁচুনি, গ্র্যান্ড ম্যাল এপিলেপসিস এবং শিশুর খিঁচুনি)।প্যানিক ডিসঅর্ডার (একটি স্বল্পমেয়াদী চিকিত্সা হিসাবে) এবং অ্যাগোরাফোবিয়া ব্যবস্থাপনা।",ক্লোনাজেপাম,,"মায়োক্লোনিক খিঁচুনি,প্যানিক ডিসঅর্ডার, অ্যাগোরাফোবিয়া",,বেনজোডিয়াজেপাইন,
"ক্লোনাজেপামের কিছু ব্যবহার হল:তীব্র ম্যানিয়া নিয়ন্ত্রণে সাহায্য করে, অন্যান্য ব্যবহারের মধ্যে রয়েছে অ্যাকাথিসিয়া, রেস্টলেস লেগ সিন্ড্রোম এবং ব্রুক্সিজম।",ক্লোনাজেপাম,,"তীব্র ম্যানিয়া, অ্যাকাথিসিয়া, রেস্টলেস লেগ সিন্ড্রোম, ব্রুক্সিজম",,বেনজোডিয়াজেপাইন,
"ক্লোনাজেপাম ওষুধ খাওয়ার আগে একজন চিকিৎসকের পরামর্শ নিন। এই ঔষধটি মৌখিকভাবে নেওয়া হয়, দিনে 2-3 বার, চিকিত্সকের পরামর্শ অনুসারে। ওষুধটি প্রতিদিন একই সময়ে নিতে হয়, ব্যর্থ না হয়ে।",ক্লোনাজেপাম,,,,,ওষুধ
"যদি ক্লোনাজেপাম এর একটি ডোজ মিস হয়ে যায়, আপনার মনে পড়ার সাথে সাথে পরবর্তী ডোজ নিন। পরবর্তী ডোজের খুব কাছাকাছি হলে ডোজটি এড়িয়ে যেতে পারে। ওষুধটি নিয়মিত সময়ে নিতে হয়।",ক্লোনাজেপাম,,,,,ডোজ
"ক্লোনাজেপাম, ট্যাবলেট হিসাবে নেওয়া, কাজ শুরু করতে প্রায় ২০-৬০মিনিট সময় নেয়। ওষুধটি ১-৪ ঘন্টার মধ্যে সর্বাধিক ক্ষমতায় পৌঁছে যায়। ক্লোনাজেপাম খিঁচুনি এবং আতঙ্কের আক্রমণের জন্য খুব কার্যকরীভাবে কাজ করে তবে সতর্কতার সাথে ব্যবহার করা উচিত কারণ এটিতে আসক্তি হওয়ার প্রবণতা বেশি। ",ক্লোনাজেপাম,,খিঁচুনি,,,ট্যাবলেট
"ক্লোনাজেপাম এবং ডায়াজেপাম উভয়ই বেনজোডিয়াজেপাইন ওষুধ যা উদ্বেগ এবং খিঁচুনি সহ বিভিন্ন অবস্থার চিকিত্সার জন্য ব্যবহৃত হয়। যদিও তারা একই ওষুধ শ্রেণীর অন্তর্গত, তারা কার্যের সূচনা, সময়কাল এবং নির্দিষ্ট ইঙ্গিতগুলির মতো কারণগুলির মধ্যে ভিন্ন হতে পারে। তাদের মধ্যে পছন্দ ব্যক্তির অবস্থা এবং ডাক্তারের সুপারিশের উপর নির্ভর করে।",ক্লোনাজেপাম,,"উদ্বেগ, খিঁচুনি",,বেনজোডিয়াজেপাইন,ডাক্তার
"ক্লোনাজেপাম প্রাথমিকভাবে ঘুমের ওষুধ নয়, তবে এটির একটি প্রশান্তিদায়ক প্রভাব থাকতে পারে এবং কখনও কখনও ঘুম-সম্পর্কিত সমস্যার জন্য নির্ধারিত হয় যখন অন্যান্য চিকিত্সা অকার্যকর হয়। এটি ঘুমের সমস্যার জন্য প্রথম লাইনের পছন্দ নয়, এবং ঘুমের জন্য এর ব্যবহার চিকিৎসা নির্দেশনার অধীনে হওয়া উচিত।",ক্লোনাজেপাম,,ঘুম-সম্পর্কিত সমস্যা,,বেনজোডিয়াজেপাইন,চিকিৎসা
"ক্লোনাজেপাম গ্রহণ করার সময় আপনাকে কোন নির্দিষ্ট খাবার এড়াতে হবে। যাইহোক, অ্যালকোহল এড়ানো এবং একটি স্বাস্থ্যকর, সুষম খাদ্য বজায় রাখা অত্যন্ত গুরুত্বপূর্ণ। কিছু খাবার ওষুধের সাথে যোগাযোগ করতে পারে, তাই আপনার স্বাস্থ্যসেবা প্রদানকারীর সাথে খাদ্যতালিকাগত বিবেচনা নিয়ে আলোচনা করা বুদ্ধিমানের কাজ।",ক্লোনাজেপাম,,,,বেনজোডিয়াজেপাইন,স্বাস্থ্য
"ক্লোনাজেপাম গ্রহণের সময় অ্যালকোহল পান করার পরামর্শ দেওয়া হয় না। অ্যালকোহল ক্লোনাজেপামের নিদ্রামূলক প্রভাবকে তীব্র করতে পারে, যার ফলে তন্দ্রা, দুর্বল সমন্বয় এবং দুর্ঘটনা বা অতিরিক্ত মাত্রার ঝুঁকি বেড়ে যায়। ক্লোনাজেপাম ব্যবহার করার সময় আপনার স্বাস্থ্যসেবা প্রদানকারীর সাথে পরামর্শ করা এবং অ্যালকোহল এড়ানো অপরিহার্য।",ক্লোনাজেপাম,,,,বেনজোডিয়াজেপাইন,
"সেফডিনির একটি আধা-সিন্থেটিক, ব্রড-স্পেকট্রাম অ্যান্টিবায়োটিক। এটি সেফালোস্পোরিন শ্রেণীর তৃতীয় প্রজন্মের অন্তর্গত। এটি একটি ব্যাকটেরিসাইডাল জীবাণু-প্রতিরোধী, যার অর্থ এটি ব্যাকটেরিয়াকে শুধুমাত্র তাদের বৃদ্ধিকে বাধা দেওয়ার পরিবর্তে মেরে কাজ করে।",সেফডিনি,,,,"সেফালোস্পোরিন শ্রেণী, তৃতীয় প্রজন্ম",
সেফডিনি একটি বহুমুখী অ্যান্টিবায়োটিক যা অনেক ব্যাকটেরিয়া সংক্রমণের চিকিৎসায় ব্যবহৃত হয়। এটি গ্রাম-পজিটিভ এবং গ্রাম-নেগেটিভ ব্যাকটেরিয়া দ্বারা সৃষ্ট সংক্রমণের বিরুদ্ধে বিশেষভাবে শক্তিশালী।,সেফডিনি,,ব্যাকটেরিয়া সংক্রমণ,,বহুমুখী অ্যান্টিবায়োটিক,অ্যান্টিবায়োটিক
"খাবারের সাথে বা ছাড়া মুখে মুখে সেফডিনির নিন। আপনার ডাক্তারের নির্দেশ অনুসারে সর্বদা এই ওষুধটি খান, সাধারণত দিনে একবার বা দুবার (প্রতি 12 ঘন্টা)। প্রতিটি ডোজ আগে বোতল ভালোভাবে ঝাঁকান।",সেফডিনি,,,,,ডোজ
"সেফডিনিরের ডোজ পৃথক চিকিৎসা অবস্থা এবং চিকিত্সার প্রতিক্রিয়ার উপর ভিত্তি করে। শিশুদের ক্ষেত্রে, ডোজ ওজনের উপরও নির্ভর করে।সর্বোত্তম ফলাফলের জন্য, এই অ্যান্টিবায়োটিক ওষুধটি সমানভাবে ব্যবধানে নিন।",সেফডিনি,,,,,ডোজ
"সেফডিনিরের সাথে যুক্ত কিছু সাধারণ পার্শ্ব প্রতিক্রিয়া রয়েছে:অতিসার,বমি বমি ভাব এবং বমি বমি ভাব,পেটে ব্যথা এবং বদহজম,মাথা ব্যাথা,ছোট বাচ্চাদের ডায়াপার ফুসকুড়ি।",সেফডিনি,পেট,"অতিসার, ডায়াপার ফুসকুড়ি",,,
"সেফডিনি গ্রহণ করার আগে, নিম্নলিখিত সতর্কতাগুলি বিবেচনা করা অত্যন্ত গুরুত্বপূর্ণ:
এলার্জি: আপনার যদি সেফডিনির বা সেফটিন, সেফজিল, কেফ্লেক্স ইত্যাদির মতো অ্যান্টিবায়োটিকের প্রতি অ্যালার্জি থাকে তবে সেফডিনির নেবেন না৷ আপনার ডাক্তারকে কোনো ওষুধের অ্যালার্জি, বিশেষ করে পেনিসিলিন সম্পর্কে জানান৷",সেফডিনি,,অ্যালার্জি,,,
থাইরয়েড গ্রন্থি থেকে নিঃসৃত থাইরক্সিন শরীরের বিপাক প্রক্রিয়ায় গুরুত্বপূর্ণ ভূমিকা পালন করে।,,,,থাইরক্সিন,,
প্রোজেস্টেরন হরমোন গর্ভাবস্থার সময় জরায়ুর প্রাচীরকে শক্তিশালী করে এবং ভ্রূণকে স্থিতিশীল রাখতে সাহায্য করে।,,,,প্রোজেস্টেরন,,
থাইরয়েড স্টিমুলেটিং হরমোন থাইরয়েড গ্রন্থিকে থাইরক্সিন উৎপাদনে উদ্দীপিত করে।,,,,থাইরয়েড স্টিমুলেটিং হরমোন,,
রেনিন হরমোন রক্তচাপ নিয়ন্ত্রণ এবং ইলেকট্রোলাইট ব্যালান্সে সহায়তা করে।,,,,রেনিন,,
গ্লুকোকর্টিকয়েড হরমোন শরীরে প্রদাহ প্রতিরোধ এবং বিপাকীয় কার্যক্রমে গুরুত্বপূর্ণ ভূমিকা পালন করে।,,,,গ্লুকোকর্টিকয়েড,,
মিনারালোকর্টিকয়েড হরমোন কিডনির মাধ্যমে সোডিয়াম এবং পানি ধারণে সহায়ক।,,,,মিনারালোকর্টিকয়েড,,
প্রোল্যাকটিন ইনহিবিটিং হরমোন স্তন্যপান প্রক্রিয়ায় প্রোল্যাকটিনের উৎপাদন কমাতে ভূমিকা রাখে।,,,,প্রোল্যাকটিন ইনহিবিটিং হরমোন,,
এপিনেফ্রিন এবং নরএপিনেফ্রিন হরমোন শরীরে তীব্র মানসিক চাপের সময় দ্রুত শক্তি সরবরাহ করে।,,,,এপিনেফ্রিন ও নরএপিনেফ্রিন,,
হিউম্যান কোরিওনিক গোনাডোট্রপিন (এইচসিজি) হরমোন গর্ভাবস্থার শুরুতে জরায়ুর স্থায়িত্ব বজায় রাখতে সাহায্য করে।,,,,হিউম্যান কোরিওনিক গোনাডোট্রপিন,,
লেপটিন হরমোন শরীরের ওজন এবং ক্ষুধা নিয়ন্ত্রণে ভূমিকা পালন করে।,,,,লেপটিন,,
ঘ্রেলিন হরমোন ক্ষুধা উদ্দীপিত করে এবং এটি পেট থেকে নিঃসৃত হয়।,,,,ঘ্রেলিন,,
অ্যানড্রোজেন হরমোন পুরুষদের যৌন বৈশিষ্ট্য এবং পেশী বৃদ্ধিতে সাহায্য করে।,,,,অ্যানড্রোজেন,,
প্ল্যাসেন্টাল ল্যাক্টোজেন হরমোন গর্ভাবস্থায় স্তন্যপান প্রক্রিয়ার প্রস্তুতি করে।,,,,প্ল্যাসেন্টাল ল্যাক্টোজেন,,
থাইরোক্সিন এবং ট্রাইআয়োডোথাইরোনিন হরমোন শরীরের মেটাবলিজম নিয়ন্ত্রণ করে।,,,,ট্রাইআয়োডোথাইরোনিন (T3) এবং থাইরোক্সিন (T4),,
এনডোরফিন হরমোন ব্যথা হ্রাস করে এবং শরীরকে প্রশান্ত রাখে।,,,,এনডোরফিন,,
অ্যাডিপোনেকটিন হরমোন চর্বি বিপাকে সহায়তা করে এবং এটি শরীরের ইনসুলিন সংবেদনশীলতা বাড়ায়।,,,,অ্যাডিপোনেকটিন,,
অ্যান্টিডাইউরেটিক হরমোন শরীরের পানি ধারণ ক্ষমতা বাড়িয়ে ডিহাইড্রেশন প্রতিরোধ করে।,,,,অ্যান্টিডাইউরেটিক হরমোন,,
পাইনাল গ্রন্থি থেকে নিঃসৃত থাইমোসিন হরমোন শরীরের রোগ প্রতিরোধ ক্ষমতা বৃদ্ধিতে সহায়ক।,,,,থাইমোসিন,,
গনাডোট্রপিন রিলিজিং হরমোন পিটুইটারি গ্রন্থি থেকে ফোলিকল-উদ্দীপক হরমোন এবং লিউটিনাইজিং হরমোন নিঃসরণ করে।,,,,গনাডোট্রপিন রিলিজিং হরমোন,,
প্ল্যাকেন্টা থেকে নিঃসৃত রিল্যাক্সিন হরমোন প্রসবের সময় জরায়ু সংকোচন সহজ করে।,,,,রিল্যাক্সিন,,
ইরিথ্রোপোইটিন হরমোন লোহিত রক্তকণিকা উৎপাদন বাড়িয়ে রক্তস্বল্পতার চিকিৎসায় সহায়ক।,,,,ইরিথ্রোপোইটিন,,
ডিহাইড্রোটেস্টোস্টেরন হরমোন পুরুষদের চুল পড়ার কারণ হতে পারে।,,,,ডিহাইড্রোটেস্টোস্টেরন,,
"ক্লাসিট্রোল হরমোন শরীরে ক্যালসিয়াম শোষণে সাহায্য করে, যা হাড়ের স্বাস্থ্য বজায় রাখতে গুরুত্বপূর্ণ।",,,,ক্লাসিট্রোল,,
অক্সিন্টোমডুলিন হরমোন ক্ষুধা কমায় এবং ওজন নিয়ন্ত্রণে ভূমিকা রাখে।,,,,অক্সিন্টোমডুলিন,,
প্যানক্রিয়াটিক পলিপেপটাইড হরমোন অগ্ন্যাশয়ের কার্যক্রম নিয়ন্ত্রণে ভূমিকা পালন করে।,,,,প্যানক্রিয়াটিক পলিপেপটাইড,,
সিক্রেটিন হরমোন অগ্ন্যাশয় থেকে অ্যাসিড ক্ষরণ নিয়ন্ত্রণ করে হজমে সহায়ক।,,,,সিক্রেটিন,,
মোটিলিন হরমোন অন্ত্রের মসৃণ পেশির গতিশীলতা বাড়িয়ে খাবার হজমে সাহায্য করে।,,,,মোটিলিন,,
এনজিওটেনসিন হরমোন রক্তচাপ বাড়ায় এবং কিডনির কার্যক্রম নিয়ন্ত্রণ করে।,,,,এনজিওটেনসিন,,
গ্লুকোক্যাগন-লাইক পেপটাইড-১ হরমোন ডায়াবেটিসের চিকিৎসায় ইনসুলিন নিঃসরণে সহায়ক।,,,,গ্লুকোক্যাগন-লাইক পেপটাইড-১,,
ভ্যাস্যাক্টিভ ইনটেস্টাইনাল পলিপেপটাইড হরমোন অন্ত্রের রক্ত প্রবাহ বাড়ায় এবং অন্ত্রের কার্যক্রম উন্নত করে।,,,,ভ্যাস্যাক্টিভ ইনটেস্টাইনাল পলিপেপটাইড,,
চোলেসিস্টোকাইনিন হরমোন পিত্তথলিকে সংকোচনে সাহায্য করে এবং চর্বি হজমে গুরুত্বপূর্ণ।,,,,চোলেসিস্টোকাইনিন,,
ইনসুলিন হরমোন রক্তে গ্লুকোজ নিয়ন্ত্রণ করে এবং ডায়াবেটিস রোগীদের জন্য অপরিহার্য।,,,,ইনসুলিন,,
অ্যাড্রেনালিন হরমোন হৃদপিণ্ডের গতি বাড়িয়ে জরুরি পরিস্থিতিতে শরীরকে উদ্দীপ্ত করে।,,,,অ্যাড্রেনালিন,,
করটিসল হরমোন অতিরিক্ত মানসিক চাপের সময় শরীরের বিপাক নিয়ন্ত্রণ করে।,,,,করটিসল,,
অক্সিটোসিন হরমোন মায়েদের স্তন্যপান প্রক্রিয়া সক্রিয় করতে সহায়ক।,,,,অক্সিটোসিন,,
মেলাটোনিন হরমোন নিদ্রার চক্র নিয়ন্ত্রণ করে এবং অনিদ্রা সমস্যা কমাতে ব্যবহৃত হয়।,,,,মেলাটোনিন,,
গ্লুকাগন হরমোন রক্তে শর্করার মাত্রা বাড়িয়ে হাইপোগ্লাইসেমিয়ার চিকিৎসায় সাহায্য করে।,,,,গ্লুকাগন,,
প্যারাথাইরয়েড হরমোন শরীরে ক্যালসিয়ামের মাত্রা নিয়ন্ত্রণ করে এবং হাড়ের ক্ষয় প্রতিরোধ করে।,,,,প্যারাথাইরয়েড হরমোন,,
হরমোন রিপ্লেসমেন্ট থেরাপি হিসাবে এস্ট্রোজেন হরমোন হাড়ের ক্ষয় রোধে ব্যবহার করা হয়।,,,,এস্ট্রোজেন,,
টেস্টোস্টেরন হরমোন পুরুষদের পেশী বৃদ্ধি এবং যৌন বৈশিষ্ট্য বিকাশে গুরুত্বপূর্ণ ভূমিকা রাখে।,,,,টেস্টোস্টেরন,,
ইনহিবিন হরমোন পুরুষ ও নারীর গনাডাল কার্যক্রম নিয়ন্ত্রণে সাহায্য করে।,,,,ইনহিবিন,,
ক্যালসিটোনিন হরমোন ক্যালসিয়ামের মাত্রা হ্রাস করে এবং হাইপারক্যালসেমিয়ার চিকিৎসায় ব্যবহৃত হয়।,,,,ক্যালসিটোনিন,,
প্লাসেন্টাল এস্ট্রোজেন হরমোন গর্ভাবস্থার সময় জরায়ুর স্বাভাবিক বিকাশে সহায়ক।,,,,প্লাসেন্টাল এস্ট্রোজেন,,
অ্যান্ড্রেনোকর্টিকোট্রপিক হরমোন স্ট্রেসের সময় করটিসল নিঃসরণে সহায়ক।,,,,অ্যান্ড্রেনোকর্টিকোট্রপিক হরমোন,,
পাইনাল গ্রন্থি থেকে নিঃসৃত মেলাটোনিন হরমোন শরীরের জৈবিক ঘড়ি নিয়ন্ত্রণ করে।,,,,মেলাটোনিন,,
রিলাক্সিন হরমোন প্রসবের সময় পেলভিসের গঠন নমনীয় করতে সাহায্য করে।,,,,রিলাক্সিন,,
অ্যান্টিমুলেরিয়ান হরমোন ডিম্বাণুর রিজার্ভ পরিমাপের মাধ্যমে নারীর প্রজননক্ষমতা নির্ধারণে ব্যবহৃত হয়।,,,,অ্যান্টিমুলেরিয়ান হরমোন,,
লিউটিনাইজিং হরমোন ডিম্বাণুর মুক্তি (ওভুলেশন) প্রক্রিয়ায় সহায়তা করে।,,,,লিউটিনাইজিং হরমোন,,
ফোলিকল উদ্দীপক হরমোন নারীর ডিম্বাণু তৈরিতে এবং পুরুষের শুক্রাণু উৎপাদনে সহায়ক।,,,,ফোলিকল উদ্দীপক হরমোন,,
গ্লুকোকর্টিকয়েড হরমোন প্রদাহ কমাতে ব্যবহৃত হয় এবং এটি অটোইমিউন রোগের চিকিৎসায় কার্যকর।,,,,গ্লুকোকর্টিকয়েড,,
থাইরোক্সিন হরমোন শরীরের মেটাবলিজম বৃদ্ধি করে এবং হাইপোথাইরয়েডিজমের চিকিৎসায় ব্যবহৃত হয়।,,,,থাইরোক্সিন,,
অক্সিটোসিন হরমোন মা এবং সন্তানের মধ্যে বন্ধনের অনুভূতি বাড়ায়।,,,,অক্সিটোসিন,,
এনডোরফিন হরমোন ব্যথা এবং মানসিক চাপ হ্রাস করে।,,,,এনডোরফিন,,
ঘ্রেলিন হরমোন ক্ষুধা উদ্দীপিত করে এবং খাদ্য গ্রহণ নিয়ন্ত্রণ করে।,,,,ঘ্রেলিন,,
ইনসুলিন হরমোন রক্তের গ্লুকোজ নিয়ন্ত্রণে সহায়ক এবং ডায়াবেটিস চিকিৎসায় অপরিহার্য।,,,,ইনসুলিন,,
করটিসল হরমোন অতিরিক্ত মানসিক চাপের সময় রক্তচাপ এবং বিপাকীয় কার্যক্রম নিয়ন্ত্রণ করে।,,,,করটিসল,,
অ্যাড্রেনালিন হরমোন হৃদপিণ্ডের গতি বাড়িয়ে জরুরি অবস্থায় দ্রুত প্রতিক্রিয়া জানাতে সাহায্য করে।,,,,অ্যাড্রেনালিন,,
লেপটিন হরমোন ক্ষুধা নিয়ন্ত্রণে সহায়ক এবং শরীরে চর্বির ভারসাম্য বজায় রাখে।,,,,লেপটিন,,
প্রোল্যাকটিন হরমোন নারীদের স্তন্যপান প্রক্রিয়া সক্রিয় করতে সাহায্য করে।,,,,প্রোল্যাকটিন,,
ঘ্রেলিন হরমোন পেট থেকে নিঃসৃত হয় এবং এটি ক্ষুধা বাড়ায়।,,,,ঘ্রেলিন,,
থাইমোসিন হরমোন রোগ প্রতিরোধ ক্ষমতা বাড়াতে কাজ করে।,,,,থাইমোসিন,,
ফোলিকল উদ্দীপক হরমোন পুরুষ ও নারীর প্রজনন গ্রন্থি কার্যক্রম নিয়ন্ত্রণ করে।,,,,ফোলিকল উদ্দীপক হরমোন,,
টেস্টোস্টেরন হরমোন পুরুষদের যৌন বৈশিষ্ট্য এবং পেশী বৃদ্ধিতে সহায়ক।,,,,টেস্টোস্টেরন,,
রিল্যাক্সিন হরমোন গর্ভাবস্থার সময় জরায়ুর মাংসপেশিকে নমনীয় করতে সহায়ক।,,,,রিল্যাক্সিন,,
হিউম্যান কোরিওনিক গোনাডোট্রপিন (এইচসিজি) হরমোন গর্ভাবস্থার সময় ভ্রূণের বিকাশে সহায়ক।,,,,হিউম্যান কোরিওনিক গোনাডোট্রপিন,,
থাইরয়েড স্টিমুলেটিং হরমোন থাইরয়েড গ্রন্থি থেকে থাইরোক্সিন উৎপাদনে সহায়ক।,,,,থাইরয়েড স্টিমুলেটিং হরমোন,,
অক্সিটোসিন হরমোন গর্ভাবস্থার সময় জরায়ুর সংকোচন বৃদ্ধি করে এবং প্রসব সহজ করে।,,,,অক্সিটোসিন,,
এন্ডরফিন হরমোন ব্যথা কমায় এবং শরীরে আনন্দের অনুভূতি তৈরি করে।,,,,এন্ডরফিন,,
ভ্যাসোপ্রেসিন হরমোন কিডনির মাধ্যমে শরীরের পানি সংরক্ষণে সহায়তা করে।,,,,ভ্যাসোপ্রেসিন,,
প্লাসেন্টাল ল্যাক্টোজেন হরমোন গর্ভাবস্থায় স্তন্যপান প্রক্রিয়ার প্রস্তুতি নিতে সাহায্য করে।,,,,প্লাসেন্টাল ল্যাক্টোজেন,,
অ্যান্ড্রোজেন হরমোন পুরুষদের দ্বিতীয় যৌন বৈশিষ্ট্য গঠনে ভূমিকা রাখে।,,,,অ্যান্ড্রোজেন,,
ট্রাইআয়োডোথাইরোনিন (টি৩) এবং থাইরোক্সিন (টি৪) হরমোন শরীরের মেটাবলিজম নিয়ন্ত্রণ করে।,,,,ট্রাইআয়োডোথাইরোনিন (T3) এবং থাইরোক্সিন (T4),,
এনডোরফিন হরমোন শরীরে প্রাকৃতিক ব্যথানাশক হিসেবে কাজ করে এবং মানসিক প্রশান্তি দেয়।,,,,এনডোরফিন,,
ক্লোপিডোগ্রেল হল এমন একটি ওষুধ যা অ্যান্টিপ্লেটলেট এজেন্টের শ্রেণীর অন্তর্গত যা রক্তের জমাট বাঁধতে বাধা দেয়। এটি সাধারণত কমানোর জন্য নির্ধারিত হয় হার্ট অ্যাটাকের ঝুঁকি এবং লোকেদের স্ট্রোক এবং যাদের পেরিফেরাল আর্টারিয়াল ডিজিজ বা অস্থির এনজাইনা আছে।,ক্লোপিডোগ্রেল,"হৃদপিণ্ড,রক্তনালী","হার্ট অ্যাটাক, স্ট্রোক, পেরিফেরাল আর্টারিয়াল ডিজিজ, অস্থির এনজাইনা",,অ্যান্টিপ্লেটলেট এজেন্ট,ওষুধ
"ক্লোপিডোগ্রেলের কিছু সাধারণ ব্যবহারের মধ্যে রয়েছে: হার্ট অ্যাটাক রোধ,স্ট্রোক প্রতিরোধ,পেরিফেরাল ধমনী রোগের চিকিৎসা,নির্দিষ্ট চিকিৎসা পদ্ধতির পরে রক্ত ​​জমাট বাঁধা প্রতিরোধ করা,অ্যাট্রিয়াল ফাইব্রিলেশন রোগীদের মধ্যে রক্ত ​​​​জমাট বাঁধা প্রতিরোধ।",ক্লোপিডোগ্রেল,হৃদপিণ্ড,"হার্ট অ্যাটাক,স্ট্রোক,পেরিফেরাল ধমনী রোগ,অ্যাট্রিয়াল ফাইব্রিলেশন",,অ্যান্টিপ্লেটলেট এজেন্ট,রক্ত
"ক্লোপিডোগ্রেল সাধারণত খাবারের সাথে বা খাবার ছাড়াই মৌখিকভাবে নেওয়া হয়। যাইহোক, ওষুধের ডোজ এবং ফ্রিকোয়েন্সি ব্যক্তির চিকিত্সার অবস্থা, বয়স এবং চিকিত্সার প্রতিক্রিয়ার উপর নির্ভর করবে। ",ক্লোপিডোগ্রেল,,,,অ্যান্টিপ্লেটলেট এজেন্ট,ডোজ
"ক্লোপিডোগ্রেল নিম্নলিখিত প্রতিকূল প্রভাব সৃষ্টি করতে পারে: রক্তক্ষরণ,চূর্ণ,পেট খারাপ,মাথা ব্যাথা,চুলকানি বা ফুসকুড়ি,মাথা ঘোরা,পেশী ব্যাথা।",ক্লোপিডোগ্রেল,,"ফুসকুড়ি,পেট খারাপ,রক্তক্ষরণ",,অ্যান্টিপ্লেটলেট এজেন্ট,
